Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.884,20.884,screen dark,3.8199676224
0,20.884,20.884,wifi running,0.28469570016
6.064,20.884,14.82,audio,0.006393348

