Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,15.973,15.973,screen dark,2.8857844072
0,15.973,15.973,wifi running,0.21507261148
0.0,7.995435,7.995435,core 0 cpu_idle start,0.119239919872
7.995435,8.934655,0.93922,core 0 cpu_idle,0.01400705747
8.934655,8.935812,0.00115700000015,core 0 cpu_frequency,0.000456515870259
8.935812,9.094634,0.158822,core 0 cpu_idle,0.002368591897
9.094634,9.094746,0.000112000000172,core 0 cpu_frequency,4.41916832679e-05
9.094746,9.378982,0.284236,core 0 cpu_idle,0.004238953586
9.378982,9.379046,6.39999998384e-05,core 0 cpu_frequency,2.52523903362e-05
9.379046,10.933688,1.554642,core 0 cpu_idle,0.023185153467
10.933688,10.933734,4.60000001112e-05,core 0 cpu_frequency,1.81501556439e-05
10.933734,11.021743,0.0880090000001,core 0 cpu_idle,0.0013125222215
11.021743,11.021917,0.000173999999788,core 0 cpu_frequency,6.86549363164e-05
11.021917,22.312,11.290083,core 0 cpu_idle,0.168374652821
0.0,7.998146,7.998146,core 1 cpu_idle start,0.119280350371
7.998146,8.934667,0.936521,core 1 cpu_idle,0.0139668059335
8.934667,8.934724,5.69999997424e-05,core 1 cpu_frequency,2.24904100984e-05
8.934724,9.094647,0.159923,core 1 cpu_idle,0.0023850116605
9.094647,9.095032,0.000384999999824,core 1 cpu_frequency,0.00015190891093
9.095032,9.378998,0.283966,core 1 cpu_idle,0.004234926941
9.378998,9.379959,0.000961000000189,core 1 cpu_frequency,0.000379180424674
9.379959,10.933705,1.553746,core 1 cpu_idle,0.023171790971
10.933705,10.933789,8.39999997879e-05,core 1 cpu_frequency,3.31437623163e-05
10.933789,11.02176,0.0879709999999,core 1 cpu_idle,0.0013119555085
11.02176,11.022043,0.000283000000309,core 1 cpu_frequency,0.000111662913922
11.022043,22.312,11.289957,core 1 cpu_idle,0.168372773719
0.0,8.000306,8.000306,core 2 cpu_idle start,0.119312563531
8.000306,8.934673,0.934367,core 2 cpu_idle,0.0139346822545
8.934673,8.937179,0.00250599999981,core 2 cpu_frequency,0.000988788911526
8.937179,9.094652,0.157473,core 2 cpu_idle,0.0023484735855
9.094652,9.094968,0.000316000000112,core 2 cpu_frequency,0.000124683677644
9.094968,9.379003,0.284035,core 2 cpu_idle,0.0042359559725
9.379003,9.379352,0.000349000000369,core 2 cpu_frequency,0.000137704441546
9.379352,10.933711,1.554359,core 2 cpu_idle,0.0231809329465
10.933711,10.939403,0.00569200000018,core 2 cpu_frequency,0.00224588447127
10.939403,11.021765,0.0823620000001,core 2 cpu_idle,0.001228305687
11.021765,11.021857,9.19999997677e-05,core 2 cpu_frequency,3.63003111084e-05
11.021857,22.312,11.290143,core 2 cpu_idle,0.168375547631
0.0,7.998147,7.998147,core 3 cpu_idle start,0.119280365284
7.998147,8.934678,0.936531,core 3 cpu_idle,0.0139669550685
8.934678,8.93471,3.2000000374e-05,core 3 cpu_frequency,1.26261953476e-05
8.93471,9.094657,0.159947,core 3 cpu_idle,0.00238536958449
9.094657,9.095566,0.00090900000032,core 3 cpu_frequency,0.000358662857526
9.095566,9.379008,0.283442,core 3 cpu_idle,0.004227112267
9.379008,9.379679,0.000670999999784,core 3 cpu_frequency,0.000264755530515
9.379679,10.933716,1.554037,core 3 cpu_idle,0.0231761307995
10.933716,10.933774,5.80000000809e-05,core 3 cpu_frequency,2.28849788319e-05
10.933774,11.02177,0.0879960000002,core 3 cpu_idle,0.001312328346
11.02177,11.023903,0.00213299999996,core 3 cpu_frequency,0.000841614823783
11.023903,22.312,11.288097,core 3 cpu_idle,0.16834503461
0.0,8.250937,8.250937,core 4 cpu_idle start,0.123050348949
8.250937,8.934683,0.683746,core 4 cpu_idle,0.010197045971
8.934683,8.936639,0.00195599999961,core 4 cpu_frequency,0.000771776181446
8.936639,9.094662,0.158023,core 4 cpu_idle,0.00235667601051
9.094662,9.100652,0.00598999999966,core 4 cpu_frequency,0.00236346591386
9.100652,9.379013,0.278361,core 4 cpu_idle,0.0041513367735
9.379013,9.388162,0.00914899999998,core 4 cpu_frequency,0.00360990812139
9.388162,10.933721,1.545559,core 4 cpu_idle,0.0230496941465
10.933721,10.938612,0.00489100000004,core 4 cpu_frequency,0.00192983502262
10.938612,11.021775,0.0831629999998,core 4 cpu_idle,0.0012402514005
11.021775,11.071063,0.0492880000002,core 4 cpu_frequency,0.0194474971569
11.071063,22.312,11.240937,core 4 cpu_idle,0.16764171395
0.0,8.238929,8.238929,core 5 cpu_idle start,0.122871267641
8.238929,8.934688,0.695759,core 5 cpu_idle,0.0103762018465
8.934688,8.934739,5.09999999849e-05,core 5 cpu_frequency,2.01229985941e-05
8.934739,9.094667,0.159928,core 5 cpu_idle,0.002385086228
9.094667,9.098097,0.00342999999975,core 5 cpu_frequency,0.0013533702979
9.098097,9.379018,0.280921,core 5 cpu_idle,0.0041895153335
9.379018,9.379097,7.9000000369e-05,core 5 cpu_frequency,3.11709195456e-05
9.379097,10.933726,1.554629,core 5 cpu_idle,0.0231849595915
10.933726,10.952471,0.0187449999999,core 5 cpu_frequency,0.00739618840694
10.952471,11.021781,0.0693100000003,core 5 cpu_idle,0.001033654685
11.021781,11.046421,0.0246399999996,core 5 cpu_frequency,0.00972217030386
11.046421,22.312,11.265579,core 5 cpu_idle,0.168009212417
0.0,8.002413,8.002413,core 6 cpu_idle start,0.119343986275
8.002413,22.311455,14.309042,core 6 cpu_idle,0.213397897867
22.311455,22.312,0.000545000000329,core 6 cpu_frequency,8.12785750491e-06
0.0,8.002413,8.002413,core 7 cpu_idle start,0.119343986275
8.002413,22.311467,14.309054,core 7 cpu_idle,0.213398076829
22.311467,22.312,0.000532999999905,core 7 cpu_frequency,7.94889549858e-06
