Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,15.913,15.913,screen dark,2.8749444232
0,15.913,15.913,wifi running,0.21426472588
0.0,8.073264,8.073264,core 0 cpu_idle start,0.120400622664
8.073264,8.154932,0.0816680000003,core 0 cpu_idle,0.001217955718
8.154932,8.154961,2.89999998131e-05,core 0 cpu_frequency,1.14424893263e-05
8.154961,8.403532,0.248571,core 0 cpu_idle,0.0037070636085
8.403532,8.403589,5.69999997424e-05,core 0 cpu_frequency,2.24904100984e-05
8.403589,11.465255,3.061666,core 0 cpu_idle,0.045660155891
11.465255,11.465669,0.000414000000092,core 0 cpu_frequency,0.000163351400436
11.465669,12.95173,1.486061,core 0 cpu_idle,0.0221623707235
12.95173,12.951748,1.79999997272e-05,core 0 cpu_frequency,7.10223469235e-06
12.951748,14.339571,1.387823,core 0 cpu_idle,0.0206972983105
14.339571,14.339715,0.000144000000091,core 0 cpu_frequency,5.6817878436e-05
14.339715,22.337,7.997285,core 0 cpu_idle,0.119267509848
0.0,8.07117,8.07117,core 1 cpu_idle start,0.120369393795
8.07117,8.154946,0.0837759999999,core 1 cpu_idle,0.001249393376
8.154946,8.155029,8.29999999041e-05,core 1 cpu_frequency,3.27491937622e-05
8.155029,8.403549,0.24852,core 1 cpu_idle,0.00370630302
8.403549,8.403659,0.00010999999995,core 1 cpu_frequency,4.34025459801e-05
8.403659,11.465283,3.061624,core 1 cpu_idle,0.045659529524
11.465283,11.465946,0.000663000000259,core 1 cpu_frequency,0.000261598981902
11.465946,12.951746,1.4858,core 1 cpu_idle,0.0221584783
12.951746,12.951834,8.79999997778e-05,core 1 cpu_frequency,3.47220367123e-05
12.951834,14.339589,1.387755,core 1 cpu_idle,0.0206962841925
14.339589,14.376947,0.037358,core 1 cpu_frequency,0.0147402937588
14.376947,22.337,7.960053,core 1 cpu_idle,0.118712250416
0.0,8.071082,8.071082,core 2 cpu_idle start,0.120368081407
8.071082,8.154951,0.0838689999996,core 2 cpu_idle,0.00125078033149
8.154951,8.155444,0.000493000000006,core 2 cpu_frequency,0.000194522319802
8.155444,8.403555,0.248111,core 2 cpu_idle,0.00370020339851
8.403555,8.404028,0.000473000000056,core 2 cpu_frequency,0.000186630947822
8.404028,11.465293,3.061265,core 2 cpu_idle,0.0456541755775
11.465293,11.465555,0.000262000000021,core 2 cpu_frequency,0.000103376973208
11.465555,12.951751,1.486196,core 2 cpu_idle,0.022164384046
12.951751,12.951753,2.00000022232e-06,core 2 cpu_frequency,7.89137287722e-07
12.951753,14.339597,1.387844,core 2 cpu_idle,0.020697611494
14.339597,14.339709,0.000112000000172,core 2 cpu_frequency,4.41916832679e-05
14.339709,22.337,7.997291,core 2 cpu_idle,0.119267599329
0.0,8.071032,8.071032,core 3 cpu_idle start,0.120367335732
8.071032,8.154956,0.083924,core 3 cpu_idle,0.001251600574
8.154956,8.155111,0.000154999999722,core 3 cpu_frequency,6.11581328904e-05
8.155111,8.40356,0.248449,core 3 cpu_idle,0.0037052441615
8.40356,8.403627,6.69999999445e-05,core 3 cpu_frequency,2.64360961781e-05
8.403627,11.465302,3.061675,core 3 cpu_idle,0.0456602901125
11.465302,11.46819,0.00288799999998,core 3 cpu_frequency,0.00113951411679
11.46819,12.951757,1.483567,core 3 cpu_idle,0.0221251764545
12.951757,12.952711,0.000954000000092,core 3 cpu_frequency,0.000376418444436
12.952711,14.339604,1.386893,core 3 cpu_idle,0.0206834287555
14.339604,14.342619,0.00301499999978,core 3 cpu_frequency,0.00118962432891
14.342619,22.337,7.994381,core 3 cpu_idle,0.119224201044
0.0,8.083962,8.083962,core 4 cpu_idle start,0.120560167287
8.083962,8.154961,0.070999,core 4 cpu_idle,0.0010588435865
8.154961,8.162687,0.00772599999982,core 4 cpu_frequency,0.00304843700353
8.162687,8.403565,0.240878,core 4 cpu_idle,0.003592334053
8.403565,8.41266,0.00909499999989,core 4 cpu_frequency,0.00358860141696
8.41266,11.465312,3.052652,core 4 cpu_idle,0.045525725602
11.465312,11.715161,0.249849,core 4 cpu_frequency,0.0985825701413
11.715161,12.951762,1.236601,core 4 cpu_idle,0.0184420490135
12.951762,13.026733,0.074971,core 4 cpu_frequency,0.0295812025106
13.026733,14.339614,1.312881,core 4 cpu_idle,0.0195796507935
14.339614,14.395162,0.0555480000003,core 4 cpu_frequency,0.0219174965929
14.395162,22.337,7.941838,core 4 cpu_idle,0.118440601013
