Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,15.915,15.915,screen dark,2.911069944
0,15.915,15.915,wifi running,0.2169570996
0.0,8.021822,8.021822,core 0 cpu_idle start,0.121121490378
8.021822,8.277683,0.255861,core 0 cpu_idle,0.003863245239
8.277683,8.277728,4.50000000001e-05,core 0 cpu_frequency,1.7976438e-05
8.277728,9.630134,1.352406,core 0 cpu_idle,0.020419978194
9.630134,9.638407,0.00827299999992,core 0 cpu_frequency,0.00330486825717
9.638407,20.383266,10.744859,core 0 cpu_idle,0.162236626041
20.383266,20.383374,0.000108000000182,core 0 cpu_frequency,4.31434512727e-05
20.383374,21.056827,0.673453,core 0 cpu_idle,0.010168466847
21.056827,21.057032,0.000205000000051,core 0 cpu_frequency,8.18926620203e-05
21.057032,22.29,1.232968,core 0 cpu_idle,0.018616583832
0.0,8.021027,8.021027,core 1 cpu_idle start,0.121109486673
8.021027,8.277692,0.256665,core 1 cpu_idle,0.003875384835
8.277692,8.292759,0.015067,core 1 cpu_frequency,0.00601891091882
8.292759,9.630151,1.337392,core 1 cpu_idle,0.020193281808
9.630151,9.631852,0.00170100000014,core 1 cpu_frequency,0.000679509356456
9.631852,20.383282,10.75143,core 1 cpu_idle,0.16233584157
20.383282,20.383296,1.39999999647e-05,core 1 cpu_frequency,5.59266958588e-06
20.383296,21.056855,0.673559,core 1 cpu_idle,0.010170067341
21.056855,21.167841,0.110986,core 1 cpu_frequency,0.0443362877305
21.167841,22.29,1.122159,core 1 cpu_idle,0.016943478741
0.0,8.020889,8.020889,core 2 cpu_idle start,0.121107403011
8.020889,8.277697,0.256808,core 2 cpu_idle,0.003877543992
8.277697,8.277761,6.39999998384e-05,core 2 cpu_frequency,2.55664895355e-05
8.277761,9.630157,1.352396,core 2 cpu_idle,0.020419827204
9.630157,9.631207,0.00105000000008,core 2 cpu_frequency,0.000419450220031
9.631207,20.383288,10.752081,core 2 cpu_idle,0.162345671019
20.383288,20.383823,0.0005349999999,core 2 cpu_frequency,0.00021371987396
20.383823,21.056865,0.673042,core 2 cpu_idle,0.010162261158
21.056865,21.063912,0.00704699999983,core 2 cpu_frequency,0.00281511019073
21.063912,22.29,1.226088,core 2 cpu_idle,0.018512702712
0.0,8.048896,8.048896,core 3 cpu_idle start,0.121530280704
8.048896,8.277702,0.228806,core 3 cpu_idle,0.003454741794
8.277702,8.27784,0.000138000000106,core 3 cpu_frequency,5.51277432425e-05
8.27784,9.630162,1.352322,core 3 cpu_idle,0.020418709878
9.630162,9.630968,0.000806000000011,core 3 cpu_frequency,0.000321977978405
9.630968,20.383293,10.752325,core 3 cpu_idle,0.162349355175
20.383293,20.383364,7.09999999344e-05,core 3 cpu_frequency,2.83628243738e-05
20.383364,21.056877,0.673513,core 3 cpu_idle,0.010169372787
21.056877,21.063784,0.00690699999996,core 3 cpu_frequency,0.00275918349478
21.063784,22.29,1.226216,core 3 cpu_idle,0.018514635384
0.0,8.022807,8.022807,core 4 cpu_idle start,0.121136362893
8.022807,8.277707,0.2549,core 4 cpu_idle,0.0038487351
8.277707,8.297035,0.0193279999999,core 4 cpu_frequency,0.00772107985914
8.297035,9.630167,1.333132,core 4 cpu_idle,0.020128960068
9.630167,9.658845,0.0286780000001,core 4 cpu_frequency,0.0114561841993
9.658845,20.383298,10.724453,core 4 cpu_idle,0.161928515847
20.383298,21.056887,0.673589,core 4 cpu_frequency,0.2690829088
21.056887,22.205297,1.14841,core 4 cpu_frequency,0.458762692524
22.205297,22.29,0.084703,core 4 cpu_idle,0.001278930597
0.0,8.020985,8.020985,core 5 cpu_idle start,0.121108852515
8.020985,8.277712,0.256727,core 5 cpu_idle,0.003876320973
8.277712,8.300732,0.0230200000001,core 5 cpu_frequency,0.00919594672804
8.300732,9.630172,1.32944,core 5 cpu_idle,0.02007321456
9.630172,9.631581,0.00140899999997,core 5 cpu_frequency,0.000562862247587
9.631581,20.383303,10.751722,core 5 cpu_idle,0.162340250478
20.383303,21.056897,0.673594,core 5 cpu_frequency,0.269084906182
21.056897,22.199762,1.142865,core 5 cpu_frequency,0.456547595886
22.199762,22.29,0.090238,core 5 cpu_idle,0.001362503562
0.0,8.232318,8.232318,core 6 cpu_idle start,0.124299769482
8.232318,22.252377,14.020059,core 6 cpu_idle,0.211688870841
22.252377,22.253053,0.000676000000112,core 6 cpu_frequency,0.000270046046445
22.253053,22.29,0.0369470000001,core 6 cpu_idle,0.000557862753001
0.0,8.022494,8.022494,core 7 cpu_idle start,0.121131636906
8.022494,22.252388,14.229894,core 7 cpu_idle,0.214857169506
22.252388,22.25266,0.000271999999995,core 7 cpu_frequency,0.000108657580798
22.25266,22.29,0.0373400000001,core 7 cpu_idle,0.000563796660001
