Optimization Levels,Website,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
0,httplocalhost2020apacheorgapacheorg0,14.0,14.0,14.0,14.0,14.0,14.0,16.0,16.0,14.0,11.0,14.1
0,httplocalhost2020awsamazoncomawsamazoncom0,28.0,26.0,28.0,27.0,25.0,26.0,26.0,27.0,25.0,25.0,26.3
