Optimization Levels,Website,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
2,httplocalhost2020apacheorgapacheorg2,15.0,14.0,15.0,14.0,14.0,14.0,15.0,15.0,14.0,14.0,14.4
2,httplocalhost2020awsamazoncomawsamazoncom2,26.0,26.0,27.0,27.0,26.0,23.0,21.0,25.0,13.0,23.0,23.7
