Optimization Levels,Website,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
3,httplocalhost2020apacheorgapacheorg3,14.0,14.0,14.0,14.0,14.0,14.0,15.0,14.0,15.0,15.0,14.3
3,httplocalhost2020awsamazoncomawsamazoncom3,14.0,20.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,15.0,14.4
