Optimization Levels,Website,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
2,httplocalhost2020apacheorgapacheorg2,5083862.0,5546413.0,5855262.0,6164805.0,37148817.0,37303905.0,37613777.0,38523141.0,38677387.0,38831914.0,25074928.3
2,httplocalhost2020awsamazoncomawsamazoncom2,35751725.0,35946267.0,36919253.0,37112838.0,37894969.0,38087399.0,39048924.0,39240840.0,39628611.0,44455047.0,38408587.3
