Optimization Levels,Website,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,httplocalhost2020apacheorgapacheorg1,3388911.0,3851553.0,4005817.0,4467770.0,4621526.0,4775558.0,35688798.0,35843555.0,35998485.0,36153149.0,16879512.2
1,httplocalhost2020awsamazoncomawsamazoncom1,2621210.0,2815665.0,3398348.0,30618496.0,30813569.0,31397594.0,32992520.0,33381969.0,33774570.0,34886627.0,23670056.8
