device,subject,browser,batterystats_Joule_calculated,batterystats_Memory_KByte_calculated,batterystats_CPU_Percentage_Usage
j7duo,http-localhost-2020-lacunawebpages-www-bbc-com-www-bbc-com-2,chrome,130.408893,19589871.25,18.5
j7duo,http-localhost-2020-lacunawebpages-nl-godaddy-com-nl-godaddy-com-1,chrome,119.739384,16517097.5,26.25
j7duo,http-localhost-2020-lacunawebpages-www-buzzfeed-com-www-buzzfeed-com-2,chrome,105.937866,10527395.75,11.25
j7duo,http-localhost-2020-lacunawebpages-m-youtube-com-m-youtube-com-0,chrome,68.985549,14438724.0,10.225
j7duo,http-localhost-2020-lacunawebpages-nl-godaddy-com-nl-godaddy-com-2,chrome,128.70076500000002,14535996.75,26.5
j7duo,http-localhost-2020-lacunawebpages-nl-godaddy-com-nl-godaddy-com-0,chrome,127.44402299999999,17659953.0,20.75
j7duo,http-localhost-2020-lacunawebpages-www-amazon-com-www-amazon-com-3,chrome,146.520936,12455909.25,15.5
j7duo,http-localhost-2020-lacunawebpages-www-bbc-com-www-bbc-com-0,chrome,128.693016,8492757.25,22.75
j7duo,http-localhost-2020-lacunawebpages-aws-amazon-com-aws-amazon-com-3,chrome,105.75008100000001,11963310.25,11.0
j7duo,http-localhost-2020-lacunawebpages-www-booking-com-www-booking-com-0,chrome,83.11695300000001,19244628.75,10.75
j7duo,http-localhost-2020-lacunawebpages-m-youtube-com-m-youtube-com-1,chrome,69.098193,18998938.5,9.85
j7duo,http-localhost-2020-lacunawebpages-www-buzzfeed-com-www-buzzfeed-com-1,chrome,106.44862499999999,13299414.0,11.5
j7duo,http-localhost-2020-subjects-lvl3-angularjs_require,chrome,67.316472,11565822.25,11.5
j7duo,http-localhost-2020-lacunawebpages-www-mozilla-org-www-mozilla-org-en-us-1,chrome,88.740702,20037424.0,11.25
j7duo,http-localhost-2020-lacunawebpages-stackexchange-com-stackexchange-com-1,chrome,84.35901600000001,18947922.25,10.25
j7duo,http-localhost-2020-lacunawebpages-www-office-com-www-office-com-2,chrome,78.65724600000001,9383972.0,13.5
j7duo,http-localhost-2020-lacunawebpages-nl-godaddy-com-nl-godaddy-com-3,chrome,82.107783,13944475.75,12.5
j7duo,http-localhost-2020-lacunawebpages-www-mozilla-org-www-mozilla-org-en-us-0,chrome,92.438973,12653242.0,11.75
j7duo,http-localhost-2020-lacunawebpages-www-wikipedia-org-www-wikipedia-org-2,chrome,66.928122,12458302.5,11.5
j7duo,http-localhost-2020-lacunawebpages-www-office-com-www-office-com-3,chrome,61.804773,15330465.25,8.9
j7duo,http-localhost-2020-lacunawebpages-stackexchange-com-stackexchange-com-0,chrome,82.064394,15977749.5,10.25
j7duo,http-localhost-2020-lacunawebpages-aws-amazon-com-aws-amazon-com-0,chrome,163.33135199999998,16617654.75,21.75
j7duo,http-localhost-2020-lacunawebpages-www-mozilla-org-www-mozilla-org-en-us-2,chrome,88.818993,19195499.5,11.0
j7duo,http-localhost-2020-subjects-lvl2-backbone,chrome,56.256039,19292825.75,10.75
j7duo,http-localhost-2020-lacunawebpages-m-youtube-com-m-youtube-com-3,chrome,66.112191,17608727.0,9.475000000000001
j7duo,http-localhost-2020-lacunawebpages-www-wikipedia-org-www-wikipedia-org-3,chrome,67.126374,9186776.25,11.0
