Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.85,20.85,screen dark,3.8164006800000005
0,20.623,20.623,wifi radio,5.527841096190001
20.623,20.85,0.2270000000000003,wifi running,0.0030966704400000045

