Optimization Levels,Website,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Average
1,http-192.168.178.178-2020-subjects-lvl1-angularjs_require,1190.2,1251.2,1141.7,1117.4,1118.1,1146.1,990.3,1314,1254.8,1754,2862.3,1099,1197.5,993.4,1047.4,1135.6,1310.7,1247.3,2095.3,1021.9,1314.41
1,http-192.168.178.178-2020-subjects-lvl1-backbone,1306.5,1526,1133.1,1165.1,1186.4,1298.7,1269,2403,1243.5,1304.9,1317.3,1181.5,1142.8,1382.9,1185.6,1304.3,1131.1,1193.7,1274.2,1660.4,1330.5
1,http-192.168.178.178-2020-subjects-lvl1-jquery,1185.4,973.2,1000.8,2448.2,961.9,1066.7,925,2170.5,1346.9,985.8,925.5,1047.2,726.2,2145.9,1101.4,1740.8,1071.3,1068,1277.2,985,1257.645
1,http-192.168.178.178-2020-lacunaWebPages-apache.org-apache.org-1,3102.6,1249.6,1425.2,1884.3,1454.1,1808.2,1006.7,1723.2,1358,1270.8,1362.3,1647.1,1377.6,1374.8,1656.4,1354.5,1823.4,2072.4,1934,1310.3,1609.775
1,http-192.168.178.178-2020-lacunaWebPages-aws.amazon.com-aws.amazon.com-1,1552.5,1857.7,1769.7,1449.8,1715.8,1304.9,1327,1142.8,1006.4,2183.1,1629.6,3395.7,1899.1,1628,1922.1,1469.7,1680.1,1796.7,1751.4,2521.5,1750.18
1,http-192.168.178.178-2020-lacunaWebPages-m.youtube.com-m.youtube.com-1,1500.6,2099,1766.3,6783.5,4594.4,1118.1,1666.6,1206.3,1638.9,1778.3,1397.8,1335.5,1298.6,1006.4,2081.2,2087.4,1524.1,1323.4,1377.9,1580.3,1958.23
1,http-192.168.178.178-2020-lacunaWebPages-www.office.com-www.office.com-1,2299.4,2299.4,1351.2,1501.7,1216.5,1676.4,1333.7,1876.7,2563.5,1261,1296.9,1394.9,1390.2,1262.3,1482.1,2923,2496.8,1545.2,1402.8,1456,1701.485
1,http-192.168.178.178-2020-lacunaWebPages-www.bbc.com-www.bbc.com-1,2452.4,1477.5,4294,1283.9,1277.2,1830.9,1018.2,1536.1,1333.7,978.1,1274.2,1341.4,1737.6,1833.4,2001.1,1779.4,1648.9,1248.1,1429.3,1751.4,1676.34
1,http-192.168.178.178-2020-lacunaWebPages-www.wikipedia.org-www.wikipedia.org-1,1719.7,1168.7,1591.7,1536.1,1938.8,1790.6,1450.7,1358,1688.7,1667.3,1533.4,1940.1,1585.8,1540.5,1963.4,1515.7,1419.2,1591.1,1544.2,1641.1,1609.24
1,http-192.168.178.178-2020-subjects-lvl1-knockoutjs_require,1512.3,1050.7,4357.6,1229.6,1385.2,1355,1161.1,1476.9,1179.2,1073.8,1158.2,1515.2,1022.5,1437.1,1254,1061.6,1478.9,1235.8,1272.9,1998.1,1460.785
