Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.898,20.898,screen dark,3.8074651344
0,20.898,20.898,wifi running,0.28376391096
0.0,7.971055,7.971055,core 0 cpu_idle start,0.119880681673
7.971055,8.388303,0.417247999998,core 0 cpu_idle,0.00627520129597
8.388303,8.388405,0.000101999998151,core 0 cpu_frequency,4.05860236642e-05
8.388405,9.205664,0.817259000003,core 0 cpu_idle,0.0122911667305
9.205664,9.205933,0.000268999996479,core 0 cpu_frequency,0.000107035690399
9.205933,9.685683,0.479749999999,core 0 cpu_idle,0.00721520012498
9.685683,9.68583,0.000147000006109,core 0 cpu_frequency,5.84916258308e-05
9.68583,10.728345,1.04251499999,core 0 cpu_idle,0.0156789043424
10.728345,10.728455,0.000110000000859,core 0 cpu_frequency,4.37692423419e-05
10.728455,11.337247,0.608791999999,core 0 cpu_idle,0.00915592728399
11.337247,11.337933,0.000686000006681,core 0 cpu_frequency,0.000272960911858
11.337933,13.110061,1.772128,core 0 cpu_idle,0.026651919056
13.110061,13.110194,0.00013300000137,core 0 cpu_frequency,5.29209931449e-05
13.110194,13.260834,0.15064,core 0 cpu_idle,0.00226555028
13.260834,13.261397,0.000563000001421,core 0 cpu_frequency,0.000224018939165
13.261397,13.448191,0.186793999994,core 0 cpu_idle,0.00280928836291
13.448191,13.448297,0.000106000006781,core 0 cpu_frequency,4.21776358982e-05
13.448297,13.51742,0.0691229999939,core 0 cpu_idle,0.00103957535841
13.51742,13.517443,2.30000005104e-05,core 0 cpu_frequency,9.15175080308e-06
13.517443,15.795175,2.277732,core 0 cpu_idle,0.034255950414
15.795175,15.795624,0.000448999999207,core 0 cpu_frequency,0.000178658087485
15.795624,16.090653,0.295029000001,core 0 cpu_idle,0.00443708864551
16.090653,16.090763,0.000110000000859,core 0 cpu_frequency,4.37692423419e-05
16.090763,18.357773,2.26701,core 0 cpu_idle,0.0340946968949
18.357773,18.358324,0.000551000004634,core 0 cpu_frequency,0.000219244114044
18.358324,18.615817,0.257492999997,core 0 cpu_idle,0.00387256597346
18.615817,18.615899,8.19999986561e-05,core 0 cpu_frequency,3.26279798653e-05
18.615899,19.389311,0.773412000002,core 0 cpu_idle,0.011631729774
19.389311,19.389432,0.000120999997307,core 0 cpu_frequency,4.81461651285e-05
19.389432,19.603206,0.213774000003,core 0 cpu_idle,0.00321505407305
19.603206,19.603672,0.000465999997687,core 0 cpu_frequency,0.000185422424279
19.603672,20.826163,1.222491,core 0 cpu_idle,0.0183856533945
20.826163,20.827787,0.00162400000409,core 0 cpu_frequency,0.000646193174426
20.827787,20.924644,0.0968569999968,core 0 cpu_idle,0.00145668085145
20.924644,20.925059,0.000415000002249,core 0 cpu_frequency,0.000165129413895
20.925059,20.984421,0.059362,core 0 cpu_idle,0.000892774798999
20.984421,20.984515,9.39999954426e-05,core 0 cpu_frequency,3.74028049866e-05
20.984515,22.259429,1.274914,core 0 cpu_idle,0.019174069103
22.259429,22.259485,5.60000044061e-05,core 0 cpu_frequency,2.22825249532e-05
22.259485,23.340616,1.081131,core 0 cpu_idle,0.0162596696745
23.340616,23.340954,0.00033799999801,core 0 cpu_frequency,0.000134490942808
23.340954,23.395425,0.0544710000031,core 0 cpu_idle,0.000819216604547
23.395425,23.407952,0.012526999999,core 0 cpu_frequency,0.00498452085898
23.407952,25.033682,1.62573,core 0 cpu_idle,0.024450166335
25.033682,25.033997,0.000314999997499,core 0 cpu_frequency,0.000125339192005
25.033997,25.686314,0.652317,core 0 cpu_idle,0.0098105215215
25.686314,25.686398,8.39999993332e-05,core 0 cpu_frequency,3.34237845347e-05
25.686398,27.850718,2.16432,core 0 cpu_idle,0.0325502906401
27.850718,27.850854,0.000135999995109,core 0 cpu_frequency,5.41146972539e-05
27.850854,27.877852,0.0269980000012,core 0 cpu_idle,0.000406036421018
27.877852,27.877947,9.50000030571e-05,core 0 cpu_frequency,3.78007102164e-05
27.877947,28.291,0.413052999997,core 0 cpu_idle,0.00621211059345
0.0,7.97052,7.97052,core 1 cpu_idle start,0.11987263554
7.97052,8.388316,0.417795999994,core 1 cpu_idle,0.00628344294191
8.388316,8.391088,0.00277199999982,core 1 cpu_frequency,0.00110298489833
8.391088,9.205681,0.814593000003,core 1 cpu_idle,0.0122510714235
9.205681,9.205884,0.000203000003239,core 1 cpu_frequency,8.07741478889e-05
9.205884,9.685702,0.479818,core 1 cpu_idle,0.007216222811
9.685702,9.688766,0.00306399999681,core 1 cpu_frequency,0.00121917233953
9.688766,10.728359,1.039593,core 1 cpu_idle,0.0156349589235
10.728359,10.728392,3.29999966198e-05,core 1 cpu_frequency,1.3130771255e-05
10.728392,11.337269,0.608876999999,core 1 cpu_idle,0.00915720564148
11.337269,11.337416,0.000147000006109,core 1 cpu_frequency,5.84916258308e-05
11.337416,13.110077,1.772661,core 1 cpu_idle,0.0266599351094
13.110077,13.110207,0.000130000000354,core 1 cpu_frequency,5.17272861408e-05
13.110207,13.260864,0.150656999998,core 1 cpu_idle,0.00226580595147
13.260864,13.261142,0.000278000006801,core 1 cpu_frequency,0.000110616814306
13.261142,13.448203,0.187060999997,core 1 cpu_idle,0.00281330390945
13.448203,13.449543,0.00134000000253,core 1 cpu_frequency,0.000533188949006
13.449543,13.517435,0.0678919999991,core 1 cpu_idle,0.00102106173399
13.517435,13.537608,0.0201729999972,core 1 cpu_frequency,0.00802688107947
13.537608,15.795205,2.257597,core 1 cpu_idle,0.0339531300816
15.795205,15.797488,0.00228299999435,core 1 cpu_frequency,0.000908410720352
15.797488,16.090667,0.293179,core 1 cpu_idle,0.0044092655705
16.090667,16.090775,0.000108000000182,core 1 cpu_frequency,4.29734376724e-05
16.090775,18.357815,2.26704000001,core 1 cpu_idle,0.0340951480801
18.357815,18.358554,0.000738999995519,core 1 cpu_frequency,0.000294049724017
18.358554,18.615836,0.257281999999,core 1 cpu_idle,0.00386939263898
18.615836,18.615952,0.00011600000289,core 1 cpu_frequency,4.61566563501e-05
18.615952,19.389323,0.773371000003,core 1 cpu_idle,0.0116311131545
19.389323,19.389808,0.000484999996843,core 1 cpu_frequency,0.000192982565744
19.389808,19.603223,0.213414999998,core 1 cpu_idle,0.00320965489248
19.603223,19.603231,8.00000270829e-06,core 1 cpu_frequency,3.18321867763e-06
19.603231,20.826185,1.222954,core 1 cpu_idle,0.018392616683
20.826185,20.826525,0.000339999998687,core 1 cpu_frequency,0.000135286747477
20.826525,20.924657,0.0981319999992,core 1 cpu_idle,0.00147585621399
20.924657,20.92471,5.30000033905e-05,core 1 cpu_frequency,2.10888179491e-05
20.92471,20.984438,0.0597280000002,core 1 cpu_idle,0.000898279256003
20.984438,20.984821,0.000382999998692,core 1 cpu_frequency,0.00015239654208
20.984821,22.259445,1.274624,core 1 cpu_idle,0.019169707648
