device,subject,browser,batterystats_Joule_calculated,batterystats_Memory_KByte_calculated,batterystats_CPU_Percentage_Usage
j7duo,http-localhost-2020-subjects-lvl0-canjs_require,chrome,64.57476239999998,16865920.65,11.6
j7duo,http-localhost-2020-subjects-lvl3-canjs_require,chrome,58.882311,18447133.6,9.245
j7duo,http-localhost-2020-subjects-lvl1-enyo_backbone,chrome,60.45732539999999,17920735.75,11.59
j7duo,http-localhost-2020-subjects-lvl1-vanillajs,chrome,63.2824254,16147814.85,11.45
j7duo,http-localhost-2020-subjects-lvl2-dijon,chrome,63.19750319999999,17570852.25,11.4
j7duo,http-localhost-2020-subjects-lvl2-dojo,chrome,63.51842159999999,16177972.3,11.3
j7duo,http-localhost-2020-subjects-lvl3-knockback,chrome,65.6426394,14623178.1,11.25
j7duo,http-localhost-2020-subjects-lvl1-dijon,chrome,62.63258760000001,15273514.05,11.0
j7duo,http-localhost-2020-subjects-lvl3-mithril,chrome,58.0835286,15331278.75,9.44
j7duo,http-localhost-2020-subjects-lvl1-vanilla-es6,chrome,64.0334862,22916000.95,10.6
j7duo,http-localhost-2020-subjects-lvl1-jsblocks,chrome,64.25012880000001,14419622.25,11.7
j7duo,http-localhost-2020-subjects-lvl0-exoskeleyon,chrome,62.32226039999999,14625727.05,9.705
j7duo,http-localhost-2020-subjects-lvl0-dojo,chrome,60.06417480000001,17802932.55,11.55
j7duo,http-localhost-2020-subjects-lvl2-jquery,chrome,63.00395639999999,13539730.55,11.2
j7duo,http-localhost-2020-subjects-lvl2-vanilla-es6,chrome,64.44083520000002,16208594.9,11.15
j7duo,http-localhost-2020-subjects-lvl3-enyo_backbone,chrome,62.988447599999986,17587906.9,11.15
j7duo,http-localhost-2020-subjects-lvl0-enyo_backbone,chrome,62.98309440000001,13953501.0,11.2
j7duo,http-localhost-2020-subjects-lvl1-exoskeleyon,chrome,63.56570939999999,15346235.15,9.92
j7duo,http-localhost-2020-subjects-lvl0-vue,chrome,64.19090700000001,16307416.75,10.610000000000001
j7duo,http-localhost-2020-subjects-lvl1-backbone_require,chrome,62.297020799999984,22991314.55,10.75
j7duo,http-localhost-2020-subjects-lvl0-canjs,chrome,64.53659339999999,13096837.9,11.05
j7duo,http-localhost-2020-subjects-lvl0-knockoutjs_require,chrome,62.6222214,13095400.1,10.9
j7duo,http-localhost-2020-subjects-lvl0-gwt,chrome,61.39987560000001,16788700.35,10.049999999999999
j7duo,http-localhost-2020-subjects-lvl1-canjs_require,chrome,64.51536060000001,17126678.55,11.3
j7duo,http-localhost-2020-subjects-lvl0-vanillajs,chrome,60.7269132,13628210.6,11.75
j7duo,http-localhost-2020-subjects-lvl0-polymer,chrome,63.1259676,19598447.5,10.9
j7duo,http-localhost-2020-subjects-lvl1-knockback,chrome,64.1466738,20501501.55,10.715
j7duo,http-localhost-2020-subjects-lvl2-vue,chrome,65.10145680000001,15442087.1,11.05
j7duo,http-localhost-2020-subjects-lvl3-knockoutjs_require,chrome,65.0989134,18483089.35,11.1
j7duo,http-localhost-2020-subjects-lvl2-jsblocks,chrome,65.0128392,17730274.65,11.425
j7duo,http-localhost-2020-subjects-lvl0-backbone_require,chrome,64.11727619999999,18066479.55,11.2
j7duo,http-localhost-2020-subjects-lvl0-jsblocks,chrome,62.63180999999999,17776865.25,11.35
j7duo,http-localhost-2020-subjects-lvl0-reagent,chrome,64.25580959999999,20483807.5,11.35
j7duo,http-localhost-2020-subjects-lvl2-backbone_require,chrome,63.02821140000001,16890403.85,11.05
j7duo,http-localhost-2020-subjects-lvl1-canjs,chrome,65.1665214,18465213.05,11.0
j7duo,http-localhost-2020-subjects-lvl1-gwt,chrome,61.11705599999999,16112641.0,10.04
j7duo,http-localhost-2020-subjects-lvl2-gwt,chrome,61.094395799999994,13421369.5,9.790000000000003
j7duo,http-localhost-2020-subjects-lvl3-vanilla-es6,chrome,61.484029199999995,14815403.8,10.45
j7duo,http-localhost-2020-subjects-lvl2-exoskeleyon,chrome,61.89024239999999,16295462.15,9.785
j7duo,http-localhost-2020-subjects-lvl2-enyo_backbone,chrome,64.95065459999998,23541494.65,11.15
j7duo,http-localhost-2020-subjects-lvl2-mithril,chrome,63.19482839999999,16100250.6,10.85
j7duo,http-localhost-2020-subjects-lvl3-jquery,chrome,61.77259619999999,12659149.65,11.05
j7duo,http-localhost-2020-subjects-lvl3-exoskeleyon,chrome,62.4359736,18300348.7,9.575
j7duo,http-localhost-2020-subjects-lvl0-vanilla-es6,chrome,65.73760380000002,13386662.4,10.9
j7duo,http-localhost-2020-subjects-lvl3-jsblocks,chrome,61.518511799999985,18808437.6,11.25
j7duo,http-localhost-2020-subjects-lvl0-jquery,chrome,63.212529599999996,16762553.7,10.5
j7duo,http-localhost-2020-subjects-lvl1-jquery,chrome,64.8501444,16005529.8,11.45
j7duo,http-localhost-2020-subjects-lvl2-vanillajs,chrome,64.62266760000001,12445635.05,11.08
j7duo,http-localhost-2020-subjects-lvl2-canjs_require,chrome,63.435319199999995,16989474.8,11.5
j7duo,http-localhost-2020-subjects-lvl1-dojo,chrome,64.35463139999999,20718175.45,10.95
j7duo,http-localhost-2020-subjects-lvl0-knockback,chrome,64.40756400000001,19334690.75,10.9
j7duo,http-localhost-2020-subjects-lvl0-dijon,chrome,62.451369,21098211.3,10.75
j7duo,http-localhost-2020-subjects-lvl3-reagent,chrome,63.2806056,14814170.95,9.524999999999999
j7duo,http-localhost-2020-subjects-lvl2-canjs,chrome,66.833127,16307052.35,11.15
j7duo,http-localhost-2020-subjects-lvl3-dojo,chrome,62.6150484,17433592.0,9.3
j7duo,http-localhost-2020-subjects-lvl2-knockback,chrome,63.0123732,18726408.6,11.45
j7duo,http-localhost-2020-subjects-lvl3-gwt,chrome,60.555735000000006,16941609.75,9.809999999999999
j7duo,http-localhost-2020-subjects-lvl3-vanillajs,chrome,62.827815599999994,17040325.5,11.01
j7duo,http-localhost-2020-subjects-lvl3-canjs,chrome,63.201409199999986,14945975.7,9.85
j7duo,http-localhost-2020-subjects-lvl1-mithril,chrome,63.783556199999985,16296505.95,10.9
j7duo,http-localhost-2020-subjects-lvl2-polymer,chrome,60.797642399999994,18827153.85,11.195
j7duo,http-localhost-2020-subjects-lvl1-reagent,chrome,65.06510940000001,14889680.3,11.85
j7duo,http-localhost-2020-subjects-lvl1-vue,chrome,64.47846059999999,17916310.9,10.775
j7duo,http-localhost-2020-subjects-lvl2-reagent,chrome,65.16878759999999,16275984.2,11.4
j7duo,http-localhost-2020-subjects-lvl3-vue,chrome,61.47312839999999,14739982.55,9.795
j7duo,http-localhost-2020-subjects-lvl1-polymer,chrome,61.93856519999999,18866596.7,11.25
j7duo,http-localhost-2020-subjects-lvl2-knockoutjs_require,chrome,63.2778228,17656124.45,11.1
j7duo,http-localhost-2020-subjects-lvl3-backbone_require,chrome,63.3498966,16226203.35,10.77
j7duo,http-localhost-2020-subjects-lvl1-knockoutjs_require,chrome,61.81504199999999,16907874.0,10.55
j7duo,http-localhost-2020-subjects-lvl0-mithril,chrome,62.9836776,16643321.7,11.05
j7duo,http-localhost-2020-subjects-lvl3-polymer,chrome,64.1014524,15279526.6,10.6
j7duo,http-localhost-2020-subjects-lvl3-dijon,chrome,65.09372760000002,18662625.4,11.2
