Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,15.932,15.932,screen dark,2.8790526016
0,15.932,15.932,wifi running,0.21457090144
0.0,8.033875,8.033875,core 0 cpu_idle start,0.119841313375
8.033875,9.113151,1.079276,core 0 cpu_idle,0.016099560092
9.113151,9.113167,1.59999999596e-05,core 0 cpu_frequency,6.31457918406e-06
9.113167,9.658732,0.545565,core 0 cpu_idle,0.00813819310501
9.658732,9.658812,7.9999999798e-05,core 0 cpu_frequency,3.15728959203e-05
9.658812,22.806452,13.14764,core 0 cpu_idle,0.19612334588
22.806452,22.806462,9.99999974738e-06,core 0 cpu_frequency,3.9466119003e-06
22.806462,22.858964,0.0525020000005,core 0 cpu_idle,0.000783172334007
22.858964,22.859081,0.000116999999591,core 0 cpu_frequency,4.61753602386e-05
22.859081,23.337,0.477919,core 0 cpu_idle,0.007129117723
0.0,8.034327,8.034327,core 1 cpu_idle start,0.119848055859
8.034327,9.113165,1.078838,core 1 cpu_idle,0.016093026446
9.113165,9.113187,2.20000001718e-05,core 1 cpu_frequency,8.68254646781e-06
9.113187,9.658743,0.545556,core 1 cpu_idle,0.008138058852
9.658743,9.658824,8.10000001366e-05,core 1 cpu_frequency,3.19675572539e-05
9.658824,22.806463,13.147639,core 1 cpu_idle,0.196123330963
22.806463,22.806531,6.80000002831e-05,core 1 cpu_frequency,2.68369617117e-05
22.806531,22.858982,0.0524509999996,core 1 cpu_idle,0.000782411566994
22.858982,22.860104,0.00112200000058,core 1 cpu_frequency,0.000442809866628
22.860104,23.337,0.476895999999,core 1 cpu_idle,0.00711385763199
0.0,8.035761,8.035761,core 2 cpu_idle start,0.119869446837
8.035761,9.11317,1.077409,core 2 cpu_idle,0.016071710053
9.11317,9.113254,8.40000002427e-05,core 2 cpu_frequency,3.31515408958e-05
9.113254,9.658748,0.545494,core 2 cpu_idle,0.008137133998
9.658748,9.659275,0.000527000000147,core 2 cpu_frequency,0.000207986452458
9.659275,22.806468,13.147193,core 2 cpu_idle,0.196116677981
22.806468,22.806653,0.000184999999874,core 2 cpu_frequency,7.30123219503e-05
22.806653,22.85899,0.0523370000001,core 2 cpu_idle,0.000780711029001
22.85899,22.859078,8.79999997778e-05,core 2 cpu_frequency,3.47301855123e-05
22.859078,23.337,0.477922,core 2 cpu_idle,0.007129162474
0.0,8.033873,8.033873,core 3 cpu_idle start,0.119841283541
8.033873,9.113175,1.079302,core 3 cpu_idle,0.016099947934
9.113175,9.114924,0.00174900000002,core 3 cpu_frequency,0.000690262438807
9.114924,9.658753,0.543829,core 3 cpu_idle,0.008112297193
9.658753,9.661618,0.00286500000038,core 3 cpu_frequency,0.00113070433815
9.661618,22.806473,13.144855,core 3 cpu_idle,0.196081802035
22.806473,22.806651,0.000178000000233,core 3 cpu_frequency,7.02496936918e-05
22.806651,22.858998,0.0523469999998,core 3 cpu_idle,0.000780860198997
22.858998,22.859567,0.000568999999814,core 3 cpu_frequency,0.000224562222727
22.859567,23.337,0.477433,core 3 cpu_idle,0.007121868061
0.0,8.03805,8.03805,core 4 cpu_idle start,0.11990359185
8.03805,9.11318,1.07513,core 4 cpu_idle,0.01603771421
9.11318,9.154322,0.041142,core 4 cpu_frequency,0.0162371510904
9.154322,9.658758,0.504435999999,core 4 cpu_idle,0.00752467181199
9.658758,9.661449,0.0026910000006,core 4 cpu_frequency,0.00106203328944
9.661449,22.806478,13.145029,core 4 cpu_idle,0.196084397593
22.806478,22.807603,0.00112500000068,core 4 cpu_frequency,0.00044399385027
22.807603,22.859008,0.0514050000002,core 4 cpu_idle,0.000766808385002
22.859008,22.859064,5.59999998586e-05,core 4 cpu_frequency,2.21010271442e-05
22.859064,23.337,0.477935999999,core 4 cpu_idle,0.00712937131199
0.0,8.03805,8.03805,core 5 cpu_idle start,0.11990359185
8.03805,9.113185,1.075135,core 5 cpu_idle,0.016037788795
9.113185,9.113264,7.89999994595e-05,core 5 cpu_frequency,3.11782345867e-05
9.113264,9.658764,0.5455,core 5 cpu_idle,0.0081372235
9.658764,9.66165,0.00288600000022,core 5 cpu_frequency,0.00113899222329
9.66165,22.806483,13.144833,core 5 cpu_idle,0.196081473861
22.806483,22.807765,0.00128199999926,core 5 cpu_frequency,0.00050595565811
22.807765,22.859016,0.0512510000008,core 5 cpu_idle,0.000764511167012
22.859016,22.859264,0.000247999999374,core 5 cpu_frequency,9.78759773529e-05
22.859264,23.337,0.477736,core 5 cpu_idle,0.007126387912
0.0,8.173413,8.173413,core 6 cpu_idle start,0.121922801721
8.173413,22.388925,14.215512,core 6 cpu_idle,0.212052792504
22.388925,22.389252,0.000326999999743,core 6 cpu_frequency,0.000129054212299
22.389252,23.337,0.947748,core 6 cpu_idle,0.014137556916
0.0,8.035275,8.035275,core 7 cpu_idle start,0.119862197175
8.035275,22.38894,14.353665,core 7 cpu_idle,0.214113620805
22.38894,22.396842,0.00790200000029,core 7 cpu_frequency,0.00311861280251
22.396842,23.337,0.940157999999,core 7 cpu_idle,0.014024336886
