Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.846,20.846,screen dark,3.8130169056
0,20.846,20.846,wifi running,0.28417767504
8.418,20.846,12.428,audio,0.005361439200000001

