device,subject,browser,batterystats_Joule_calculated,batterystats_Memory_KByte_calculated,batterystats_CPU_Percentage_Usage
j7duo,http-localhost-2020-lacunawebpages-stackoverflow-com-stackoverflow-com-2,chrome,77.15904839999999,16475654.95,10.65
j7duo,http-localhost-2020-lacunawebpages-www-office-com-www-office-com-0,chrome,77.9083074,12057127.1,13.35
j7duo,http-localhost-2020-lacunawebpages-www-buzzfeed-com-www-buzzfeed-com-0,chrome,107.96981579999999,13194719.45,11.35
j7duo,http-localhost-2020-lacunawebpages-www-theguardian-com-www-theguardian-com-3-international-html,chrome,200.01750119999997,14676960.7,23.55
j7duo,http-localhost-2020-lacunawebpages-www-paypal-com-www-paypal-com-nl-0-home-html,chrome,78.0701742,16474246.6,10.65
j7duo,http-localhost-2020-lacunawebpages-apache-org-apache-org-3,chrome,91.26160200000001,14459964.9,11.45
j7duo,http-localhost-2020-lacunawebpages-www-booking-com-www-booking-com-1,chrome,89.53675380000001,16457080.9,11.15
j7duo,http-localhost-2020-lacunawebpages-www-paypal-com-www-paypal-com-nl-3-home-html,chrome,75.7797354,15441112.4,10.040000000000001
j7duo,http-localhost-2020-subjects-lvl1-backbone,chrome,61.5044484,16423108.25,10.65
j7duo,http-localhost-2020-lacunawebpages-www-amazon-in-www-amazon-in-3,chrome,79.9506054,15906472.5,11.35
j7duo,http-localhost-2020-lacunawebpages-www-theguardian-com-www-theguardian-com-0-international-html,chrome,199.57487400000002,12334196.55,23.2
j7duo,http-localhost-2020-lacunawebpages-www-booking-com-www-booking-com-3,chrome,76.96953359999999,12204977.85,10.26
j7duo,http-localhost-2020-subjects-lvl2-angularjs_require,chrome,63.28966499999999,12858094.5,11.05
j7duo,http-localhost-2020-lacunawebpages-www-amazon-in-www-amazon-in-1,chrome,88.1676774,13277534.2,12.9
j7duo,http-localhost-2020-subjects-lvl0-backbone,chrome,63.8067366,14881629.45,10.75
j7duo,http-localhost-2020-lacunawebpages-stackexchange-com-stackexchange-com-3,chrome,84.92315939999999,17844659.05,10.434999999999999
j7duo,http-localhost-2020-lacunawebpages-stackoverflow-com-stackoverflow-com-3,chrome,70.70762340000002,14955893.95,10.345
j7duo,http-localhost-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,155.06364240000002,18652224.9,14.45
j7duo,http-localhost-2020-lacunawebpages-stackoverflow-com-stackoverflow-com-1,chrome,78.31100160000001,15115459.1,10.5
j7duo,http-localhost-2020-lacunawebpages-m-youtube-com-m-youtube-com-2,chrome,67.0155804,12971047.85,9.780000000000003
j7duo,http-localhost-2020-lacunawebpages-www-bbc-com-www-bbc-com-3,chrome,97.0547562,14864959.0,12.4
