Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,15.887,15.887,screen dark,2.9059483632
0,15.887,15.887,wifi running,0.21657539688
0.0,7.875865,7.875865,core 0 cpu_idle start,0.118917685635
7.875865,9.229646,1.353781,core 0 cpu_idle,0.020440739319
9.229646,9.229689,4.30000000051e-05,core 0 cpu_frequency,1.7177485202e-05
9.229689,22.293,13.063311,core 0 cpu_idle,0.197242932789
0.0,7.876071,7.876071,core 1 cpu_idle start,0.118920796029
7.876071,9.229676,1.353605,core 1 cpu_idle,0.020438081895
9.229676,9.229806,0.000130000000354,core 1 cpu_frequency,5.19319321414e-05
9.229806,22.293,13.063194,core 1 cpu_idle,0.197241166206
0.0,7.875556,7.875556,core 2 cpu_idle start,0.118913020044
7.875556,9.229686,1.35413,core 2 cpu_idle,0.02044600887
9.229686,9.230127,0.000441000000137,core 2 cpu_frequency,0.000176169092455
9.230127,22.293,13.062873,core 2 cpu_idle,0.197236319427
0.0,7.875422,7.875422,core 3 cpu_idle start,0.118910996778
7.875422,9.229696,1.354274,core 3 cpu_idle,0.020448183126
9.229696,9.22987,0.000174000000698,core 3 cpu_frequency,6.95088938787e-05
9.22987,22.293,13.06313,core 3 cpu_idle,0.19724019987
0.0,7.885799,7.885799,core 4 cpu_idle start,0.119067679101
7.885799,9.229706,1.343907,core 4 cpu_idle,0.020291651793
9.229706,9.236651,0.006945000001,core 4 cpu_frequency,0.0027743635984
9.236651,22.293,13.056349,core 4 cpu_idle,0.197137813551
0.0,7.901778,7.901778,core 5 cpu_idle start,0.119308946022
7.901778,9.229715,1.327937,core 5 cpu_idle,0.020050520763
9.229715,9.241002,0.0112869999994,core 5 cpu_frequency,0.00450889012654
9.241002,22.293,13.051998,core 5 cpu_idle,0.197072117802
0.0,7.909497,7.909497,core 6 cpu_idle start,0.119425495203
7.909497,22.18661,14.277113,core 6 cpu_idle,0.215570129187
22.18661,22.189559,0.00294899999972,core 6 cpu_frequency,0.00117805590349
22.189559,22.293,0.103440999999,core 6 cpu_idle,0.00156185565899
0.0,7.877189,7.877189,core 7 cpu_idle start,0.118937676711
7.877189,22.186617,14.309428,core 7 cpu_idle,0.216058053372
22.186617,22.18984,0.00322299999971,core 7 cpu_frequency,0.00128751243708
22.18984,22.293,0.103159999999,core 7 cpu_idle,0.00155761283998
